x	y	z	t	c	intensity
136.8196	86.7812	1.8121	1	1	202.3223
155.4712	48.6744	4.5958	1	1	200.3493
217.5901	170.4096	4.9908	1	1	207.9453
99.2691	204.3327	6.6853	1	1	207.2923
145.0812	178.1245	8.4104	1	1	199.3403
59.9276	39.3888	13.4848	1	1	198.9659
24.2804	208.9950	12.9437	1	1	209.0572
164.8424	66.0684	14.7314	1	1	204.7938
248.9506	73.1350	17.9336	1	1	199.7691
220.9071	209.0728	14.7069	1	1	205.3289
246.0171	156.7439	15.9537	1	1	209.3738
41.3026	80.4886	16.7044	1	1	207.7141
209.2308	92.3249	19.1878	1	1	208.6381
53.2486	191.7182	19.9171	1	1	208.7120
92.1641	246.5378	20.5169	1	1	203.0332
163.5464	137.2858	21.3368	1	1	206.3642
36.4762	250.8323	21.5917	1	1	201.2181
199.5791	222.1298	21.9206	1	1	205.7045
246.5362	196.4962	22.4844	1	1	207.7109
16.4055	68.5390	23.9318	1	1	209.2596
91.7696	246.8515	23.5691	1	1	205.4187
120.0528	107.3338	26.2336	1	1	202.4802
47.0707	209.5524	29.5667	1	1	199.4825
195.4068	232.0881	30.0210	1	1	201.7493
