x	y	z	t	c	intensity
223.4165	72.5692	2.8566	1	1	199.9592
113.3327	145.1680	6.2908	1	1	205.1800
125.0733	188.3386	5.9945	1	1	209.7206
48.2678	129.3554	7.8067	1	1	203.3609
112.1299	127.9379	9.1690	1	1	205.8780
247.5315	183.5351	8.8955	1	1	206.2487
48.2166	129.7814	10.1572	1	1	206.8588
50.7284	14.1399	11.1084	1	1	202.8422
233.5267	23.1731	12.5695	1	1	207.4243
245.8544	186.6113	13.1381	1	1	204.9423
172.6625	227.3279	12.9369	1	1	205.3736
237.2609	55.0244	14.2051	1	1	204.2211
44.1971	76.8056	16.7273	1	1	203.7150
188.3915	77.8788	16.6147	1	1	204.8923
126.0388	16.5491	16.5591	1	1	204.7949
222.4740	33.2188	17.1957	1	1	207.0810
247.1541	68.4115	17.2257	1	1	204.5307
9.3656	132.3350	18.9460	1	1	204.6467
72.3117	90.7714	19.6579	1	1	202.2874
145.0326	64.4695	20.0399	1	1	208.6795
105.2329	109.9438	20.2765	1	1	207.0947
9.5012	131.4845	20.3752	1	1	203.8358
145.1528	197.9387	20.1400	1	1	203.4717
72.9082	88.4294	20.8702	1	1	205.2799
45.1078	66.0787	23.4375	1	1	203.8526
10.4917	110.1039	24.3663	1	1	204.5795
