x	y	z	t	c	intensity
113.1889	145.8699	6.2598	1	1	206.8246
125.1428	188.5093	6.0221	1	1	208.9206
222.4125	67.3950	8.3630	1	1	205.6792
112.2394	127.6601	9.1113	1	1	207.3726
248.1766	183.8105	8.9025	1	1	206.1231
47.9816	129.7278	10.1666	1	1	208.1633
51.0195	14.1587	11.1448	1	1	202.2137
172.0142	226.8268	10.9428	1	1	204.7771
233.5867	23.2663	12.2989	1	1	210.1612
17.4807	64.0794	13.6106	1	1	204.0142
172.8191	227.1922	12.6767	1	1	205.1066
245.8486	186.7944	13.1868	1	1	205.8293
237.4548	54.8545	13.8578	1	1	206.5796
125.9919	16.2351	16.9249	1	1	206.1566
44.2649	76.8911	16.5833	1	1	206.0734
187.9565	77.7198	16.7023	1	1	206.0036
39.0104	110.1753	16.1187	1	1	207.8614
222.4390	33.2218	17.2138	1	1	208.3423
38.9364	110.0757	18.1073	1	1	203.7090
9.3611	132.4017	18.8081	1	1	205.7033
144.1308	171.1033	18.9690	1	1	206.7242
145.0250	64.5249	20.1140	1	1	209.2491
105.3209	109.7926	20.2797	1	1	207.8367
9.5046	131.5954	20.3878	1	1	204.9079
145.1970	197.9124	20.1937	1	1	204.7745
72.8133	88.3068	20.6832	1	1	206.2975
144.8834	199.0733	22.0217	1	1	208.7762
44.9899	66.1234	23.2133	1	1	206.2753
10.4233	110.1096	24.3583	1	1	206.3593
